Molecule Name,SMILES,% inhibition of HepG2 cell line: PCT_INHIB_HEPG2 (%)
TCMDC-135483,CC1(C)CCC(C)(C)c2c(O)c(C3CCN(CCCCNC(=O)c4ccc(-c5ccc(Cl)cc5)cc4)CC3)ccc21,100
TCMDC-135497,Cl.CC(C)N1CCN(C(CN2CCN(CCCOc3ccc(-c4ccccc4)cc3)CC2)c2ccc(F)cc2)CC1,100
TCMDC-135498,Cl.CC(C)N1CCN(C(CN2CCN(CCCOc3cccc(-c4ccccc4)c3)CC2)c2ccc(F)cc2)CC1,100
TCMDC-135697,Fc1cc(Cl)ccc1NC(=O)NC1CCN(CCCCCNC(=O)/C=C/c2ccc(Cl)c(Cl)c2)CC1,100
TCMDC-136001,O[C@H]([C@@H](O)C(O)=O)C(O)=O.COCCN1CCC(N(Cc2ccc(-c3ccc(OC(F)(F)F)cc3)cc2)C(=O)Cn2c(CCc3cccc(F)c3F)cc(=O)c3ccccc23)CC1,100
TCMDC-136007,O[C@H]([C@@H](O)C(O)=O)C(O)=O.CC(C)(C)N1CCC(N(Cc2ccc(-c3ccc(C(F)(F)F)cc3)cc2)C(=O)Cn2c(CCc3cccc(F)c3F)cc(=O)c3ccccc23)CC1,100
TCMDC-136011,O[C@H]([C@@H](O)C(O)=O)C(O)=O.CC(C)(C)N1CCC(N(Cc2ccc(-c3ccc(C(F)(F)F)cc3)cc2)C(=O)Cn2c(CCc3cccc(F)c3F)cc(=O)c3cccnc23)CC1,100
TCMDC-136048,O[C@H]([C@@H](O)C(O)=O)C(O)=O.CC(C)N1CCC(N(Cc2ccc(-c3ccc(C(F)(F)F)cc3)cc2)C(=O)Cn2c(CCc3cccc(F)c3F)cc(=O)c3cn(C)nc23)CC1,100
TCMDC-136049,O[C@H]([C@@H](O)C(O)=O)C(O)=O.CC(C)N1CCC(N(Cc2ccc(-c3ccc(C(F)(F)F)cc3)cc2)C(=O)Cn2c(CCc3cccc(F)c3F)nc(=O)c3cccnc23)CC1,100
TCMDC-136246,OC(=O)C(F)(F)F.CCn1c(-c2nonc2N)nc2c(-c3cccc(NC(=O)NC45CC6CC(CC(C6)C4)C5)c3)ncc(OCCCN)c12,100
TCMDC-136456,Cc1noc(C)c1-c1ccc2c(Nc3nccc4ccccc34)c(C(N)=O)cnc2c1,100
TCMDC-136487,CN(C)Cc1ccc(-c2ccc3c(c2)cc(NC(=O)NC2CCCC2)c2nnc(C)n32)cc1,100
TCMDC-136501,O[C@H]([C@@H](O)C(O)=O)C(O)=O.Fc1cccc(CCc2nc(=O)c3cccnc3n2CC(=O)N(Cc2ccc(-c3ccc(C(F)(F)F)cc3)cc2)C2CCN(C3CCOCC3)CC2)c1F,100
TCMDC-136509,OC(=O)C(F)(F)F.CC1(CCc2ccccc2)N=C(N)N(Cc2ccccc2)C(=O)C1c1ccc(Cl)c(Cl)c1,100
TCMDC-136511,O[C@H]([C@@H](O)C(O)=O)C(O)=O.CN(Cc1ccc(-c2ccc(C(F)(F)F)cc2)cc1)C(=O)Cn1c(CCc2cccc(F)c2F)nc(=O)c2ccc(N3CCN(CCN4CCCCC4)CC3)nc12,100
TCMDC-136602,CC(C)CCCC(C)(C)NC[C@@H](O)[C@H](Cc1ccccc1)NC(=O)c1cccc(CCC2CC2)c1,100
TCMDC-136711,Cc1nnc2c(NC(=O)NC3CCCC3)cc3cc(-c4ccc(CN5CCCCC5)cc4)ccc3n12,100
TCMDC-136717,CN1CCN(Cc2ccc(-c3ccc4c(c3)cc(NC(=O)NC3CCCC3)c3nnc(C)n43)cc2)CC1,100
TCMDC-136720,COc1ccc(CNC(=O)Nc2cc3cc(-c4ccc(CN5CCCC5)cc4)ccc3n3c(C)nnc23)cc1,100
TCMDC-136727,Cc1cc(OCCN2CCCCC2)ccc1NC(=O)c1cccc2c1ncn(Cc1ccc(Cl)cc1)c2=O,100
TCMDC-136865,Cc1cccc2nc(-c3ccc(-c4cccc(NC(=O)c5cnn6cccnc56)c4)cc3)[nH]c12,100
TCMDC-137123,CC(=O)Nc1nc(C(=O)Nc2cccc(-c3ccc(-c4nc5cccc(C)c5[nH]4)cc3)c2)cs1,100
TCMDC-137131,CC(=O)Nc1nc(C(=O)Nc2ccc(-c3cccc(-c4nc5cccc(C)c5[nH]4)c3)cc2)cs1,100
TCMDC-137200,CCCN(CCC)CCOc1ccc(C(O)(C#CC(O)(c2ccc(OCCN(CCC)CCC)cc2)c2cccc(Cl)c2)c2cccc(Cl)c2)cc1,100
TCMDC-137259,Cl.CC(C)NCc1ccc(OCc2cccc(COc3ccc(CNC(C)C)cc3I)c2)c(I)c1,100
TCMDC-137281,CS(O)(=O)=O.CCCCOc1ccc(CNCCCCCCNCc2ccc(OCCCC)c3ccccc23)c2ccccc12,100
TCMDC-137282,CS(O)(=O)=O.FC(F)(F)COc1ccc(CCNCCCCNCCc2ccc(OCC(F)(F)F)c3ccccc23)c2ccccc12,100
TCMDC-137319,CS(O)(=O)=O.COc1cc2c(cc1CCNCCCCNCCc1cc3c(cc1OC)CCCC3)CCCC2,100
TCMDC-137326,CS(O)(=O)=O.COc1c(CCNCCCCNCCc2c(OC)c(OC)c(OC)c3ccccc23)c2ccccc2c(OC)c1OC,100
TCMDC-137483,Br.CCCCCC(NCC=C)c1ccc(OCCOc2ccc(C(CCCCC)NCC=C)cc2)cc1,100
TCMDC-137529,Clc1ccc(NC(NCCCCCCCNC(Nc2ccc(Cl)cc2)=Nc2ccc(Cl)cc2)=Nc2ccc(Cl)cc2)cc1,100
TCMDC-137565,Cl.CC1(C)Cc2c([nH]c3ccccc23)C(CCCCCCCCC2=NC(C)(C)Cc3c2[nH]c2ccccc32)=N1,100
TCMDC-137612,Br.CCCCC(NCC)c1ccc(OCCOc2ccc(C(CCCC)NCC)cc2)cc1,100
TCMDC-137621,Cl.CCCCCCC(N)c1ccc(OCCCOc2ccc(C(N)CCCCCC)cc2)cc1,100
TCMDC-137631,Cl.COc1ccc(CNCCCCCCNCc2ccc(OC)c3ccccc23)c2ccccc12,100
TCMDC-137734,Cl.COc1ccc2nc(-c3ccccc3)cc(NCCCNc3cc(-c4ccccc4)nc4ccc(OC)cc34)c2c1,100
TCMDC-137759,CS(O)(=O)=O.CCOc1c(CCNCCCCNCCc2ccc3ccccc3c2OCC)ccc2ccccc12,100
TCMDC-137791,CS(O)(=O)=O.CCOc1ccc2ccccc2c1CNCCCCCCNCc1c(OCC)ccc2ccccc12,100
TCMDC-137795,CS(O)(=O)=O.COc1cc2ccccc2c(CNCCCCCCNCc2c(OC)c(OC)cc3ccccc23)c1OC,100
TCMDC-137796,CS(O)(=O)=O.COc1ccc2ccc(OC)c(CNCCCCCCNCc3c(OC)ccc4ccc(OC)cc34)c2c1,100
TCMDC-137797,CS(O)(=O)=O.COc1ccc2cc(CNCCCCCCNCc3ccc4cc(OC)ccc4c3)ccc2c1,100
TCMDC-137813,Nc1nc(N)c2c3ccn(Cc4ccc(-c5ccccc5)cc4)c3ccc2n1,100
TCMDC-137832,C#CCCOc1ccc2ccccc2c1CNCCCCCCNCc1c(OCCC#C)ccc2ccccc12,100
TCMDC-137833,CS(O)(=O)=O.FC(F)(F)COc1c(CNCCCCCCNCc2ccc3ccccc3c2OCC(F)(F)F)ccc2ccccc12,100
TCMDC-137834,CS(O)(=O)=O.CN(C)c1c(CNCCCCCCNCc2ccc3ccccc3c2N(C)C)ccc2ccccc12,100
TCMDC-137837,CS(O)(=O)=O.COc1c(CNCCCCCCNCc2c(OC)c(OC)c3ccccc3c2OC)c(OC)c2ccccc2c1OC,100
TCMDC-137838,CS(O)(=O)=O.C#CCOc1ccc2ccccc2c1CNCCCCCCNCc1c(OCC#C)ccc2ccccc12,100
TCMDC-137839,CS(O)(=O)=O.C(CCCNCc1c(OCC2CC2)ccc2ccccc12)CCNCc1c(OCC2CC2)ccc2ccccc12,100
TCMDC-137842,CS(O)(=O)=O.COc1cc2ccccc2c(OC)c1CCNCCCCNCCc1c(OC)cc2ccccc2c1OC,100
TCMDC-137843,CS(O)(=O)=O.COc1cc2ccccc2c(OC)c1CNCCCCCCNCc1c(OC)cc2ccccc2c1OC,100
TCMDC-137844,O.CS(O)(=O)=O.C/C=C/COc1ccc2ccccc2c1CNCCCCCCCCNCc1c(OC/C=C/C)ccc2ccccc12,100
TCMDC-137845,CS(O)(=O)=O.CCCCOc1cc(OC)c2ccccc2c1CCNCCCCNCCc1c(OCCCC)cc(OC)c2ccccc12,100
TCMDC-137908,Cl.CN(CCCNCc1ccc2ccccc2c1)CCCNCc1ccc2ccccc2c1,100
TCMDC-137939,CS(O)(=O)=O.CCOc1cc(CNCCCCCCNCc2cc(OCC)c(OCC)c3ccccc23)c2ccccc2c1OCC,100
TCMDC-137942,CS(O)(=O)=O.CCOc1c(CNCCCCCCNCc2ccc3ccccc3c2OCC)ccc2ccccc12,100
TCMDC-137944,CS(O)(=O)=O.COc1cc2ccccc2cc1CCNCCCCNCCc1cc2ccccc2cc1OC,100
TCMDC-137950,CS(O)(=O)=O.CCCOc1c(CCNCCCCNCCc2ccc3ccccc3c2OCCC)ccc2ccccc12,100
TCMDC-137952,CS(O)(=O)=O.CCCOc1ccc(CCNCCCCNCCc2ccc(OCCC)c3ccccc23)c2ccccc12,100
TCMDC-137953,CS(O)(=O)=O.COc1ccc2c(OC)c(CNCCCCCCNCc3ccc4cc(OC)ccc4c3OC)ccc2c1,100
TCMDC-137956,CS(O)(=O)=O.COc1ccc2c(OC)ccc(CNCCCCCCNCc3ccc(OC)c4ccc(OC)cc34)c2c1,100
TCMDC-137958,CS(O)(=O)=O.COc1c(CNCCCCCCNCc2cc(Cl)c3ccccc3c2OC)cc(Cl)c2ccccc12,100
TCMDC-137961,CS(O)(=O)=O.COc1ccc(CCNCCCCNCCc2ccc(OC)c3ccccc23)c2ccccc12,100
TCMDC-137966,CS(O)(=O)=O.CCCOc1ccc2ccccc2c1CNCCCCCCNCc1c(OCCC)ccc2ccccc12,100
TCMDC-137977,CC(C)(C)c1ccc(-c2cc3c(ccc4nc(N)nc(N)c34)[nH]2)cc1,100
TCMDC-137981,CS(O)(=O)=O.COc1cc(CNCCCCCCNCc2cc(OC)c(OC)c3ccccc23)c2ccccc2c1OC,100
TCMDC-138015,Cl.CCCCCCCCN1CCN(CCCCCCNc2c3ccccc3nc3ccccc23)CC1,100
TCMDC-138205,Cl.Cc1ccc(C(=O)Nc2ccc(Nc3ccnc4cc(-c5ccccn5)ccc34)cc2O)cc1,100
TCMDC-138298,Cl.Cc1ccc(C(=O)Nc2ccc(Nc3ccnc4cc(-c5nccs5)ccc34)cc2O)cc1,100
TCMDC-138339,Cl.COc1cc(Nc2ccnc3cc(-c4nccs4)ccc23)ccc1OCCCc1nc2ccccc2[nH]1,100
TCMDC-138403,OC(=O)/C=C/C(O)=O.COc1cc(C(C)C)ccc1C1CCN(CCCCNC(=O)c2ccc(NC(=O)c3ccc(Cl)cc3)cc2)CC1,100
TCMDC-138676,COc1cc2c(c(OC)c1)C(C(C)C=C)OC2=O,100
TCMDC-138677,COc1cc2c(c(OC)c1)C(CC=C)OC2=O,100
TCMDC-138714,Cl.OCCOc1c(C2CCN(CCCCNC(=O)c3ccc(-c4ccc(C(F)(F)F)cc4)cc3)CC2)ccc2c1CCCC2,100
